id,station_name,url,api,latitude,longitude
16,KIKETI - ITBILI32,https://www.wunderground.com/dashboard/pws/ITBILI32,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI32&numericPrecision=decimal&format=json&units=m,41.66,44.65
17,IraklidzeWS - ITBILI28,https://www.wunderground.com/dashboard/pws/ITBILI28,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI28&numericPrecision=decimal&format=json&units=m,41.68,44.82
18,Mukhatskaro - IMTSKHET11,https://www.wunderground.com/dashboard/pws/IMTSKHET11,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IMTSKHET11&numericPrecision=decimal&format=json&units=m,41.74,44.67
19,Machkhaani - IMTSKH5,https://www.wunderground.com/dashboard/pws/IMTSKH5,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IMTSKH5&numericPrecision=decimal&format=json&units=m,41.76,44.6
20,WS_D7 - ITBILI29,https://www.wunderground.com/dashboard/pws/ITBILI29,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI29&numericPrecision=decimal&format=json&units=m,41.81,44.78
21,Chavchavadze ave. 37 - ITBILISI22,https://www.wunderground.com/dashboard/pws/ITBILISI22,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILISI22&numericPrecision=decimal&format=json&units=m,41.71,44.76
22,Alta - ITBILI49,https://www.wunderground.com/dashboard/pws/ITBILI49,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI49&numericPrecision=decimal&format=json&units=m,41.78,44.78
23,Kaklebi - ITBILI24,https://www.wunderground.com/dashboard/pws/ITBILI24,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI24&numericPrecision=decimal&format=json&units=m,41.71,44.71
24,Lisi Veranda - ITBILI17,https://www.wunderground.com/dashboard/pws/ITBILI17,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI17&numericPrecision=decimal&format=json&units=m,41.74,44.75
25,BitHomeStation - ITBILI10,https://www.wunderground.com/dashboard/pws/ITBILI10,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI10&numericPrecision=decimal&format=json&units=m,41.79,44.75
26,"Tbilisi, centre (Chitaia st) - ITBILI22",https://www.wunderground.com/dashboard/pws/ITBILI22,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI22&numericPrecision=decimal&format=json&units=m,41.71,44.8
27,Ws-ib-ts - IMTSKH6,https://www.wunderground.com/dashboard/pws/IMTSKH6,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IMTSKH6&numericPrecision=decimal&format=json&units=m,41.77,44.63
28,Tsodoreti Weather Station - ITSODO1,https://www.wunderground.com/dashboard/pws/ITSODO1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITSODO1&numericPrecision=decimal&format=json&units=m,41.76,44.65
