Station,api,Url,latitude,longitude,PRECIP_RATE,PRECIP_ACCUM,static_px,top_bottom,left_right,first_div_height,line_rotate,line_left_right,line_top_bottom,id,status
Machkhaani - IMTSKH5,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IMTSKH5&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IMTSKH5,41.76,44.6,--.--,--.--,-45.0,-45.0,-50,0.0,35,-45,-13,IMTSKH5,1
WS_D7 - ITBILI29,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI29&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ITBILI29,41.81,44.78,--.--,--.--,-45.0,-45.0,-17,0.0,-65,-13,-15,ITBILI29,1
Chavchavadze ave. 37 - ITBILISI22,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILISI22&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ITBILISI22,41.71,44.76,--.--,--.--,-43.0,-43.0,-5,0.0,-35,0,-13,ITBILISI22,1
Alta - ITBILI49,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI49&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ITBILI49,41.78,44.78,--.--,--.--,-32.0,-32.0,40,0.0,-25,0,-8,ITBILI49,1
Kaklebi - ITBILI24,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI24&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ITBILI24,41.71,44.71,--.--,--.--,-48.0,-48.0,-30,0.0,75,-27,-20,ITBILI24,1
Lisi Veranda - ITBILI17,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI17&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ITBILI17,41.74,44.75,--.--,--.--,-25.0,-25.0,-80,0.0,20,-45,-6,ITBILI17,1
BitHomeStation - ITBILI10,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI10&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ITBILI10,41.79,44.75,--.--,--.--,-45.0,-45.0,-13,0.0,-55,-10,-13,ITBILI10,1
"Tbilisi, centre (Chitaia st) - ITBILI22",https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI22&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ITBILI22,41.71,44.8,--.--,--.--,-45.0,-45.0,23,0.0,-20,3,-6,ITBILI22,1
Ws-ib-ts - IMTSKH6,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IMTSKH6&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IMTSKH6,41.77,44.63,--.--,--.--,-45.0,-45.0,-53,0.0,35,-45,-13,IMTSKH6,1
Tsodoreti Weather Station - ITSODO1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITSODO1&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ITSODO1,41.76,44.65,--.--,--.--,-45.0,-45.0,-30,0.0,64,-30,-16,ITSODO1,1
